cluster_id,canonical_phrase
11,Application CPU Hang
15,Memory Leak OOM
16,ESR Branch Backport
73,Worksforme Resolution
76,WindowGlobalParent Subframe Assert
83,User Account Management
101,High Contrast Mode States
102,Android AArch64 Hardware
104,High Contrast Mode Behavior
109,Animation Recording Issues
126,Audio Streaming Crash
134,Beta-Only Test Failure
135,Bidi Control Imbalance
139,Bookmark Title Mismatch
140,Bookmarks Backup Dialog
143,Branch Backport Fix
146,Upstream Library Fix
148,Firefox Android Regression
150,Browser Process Lifecycle
152,Platform OS Configuration
154,Bug Severity Unset
155,Canvas Video Rendering
156,Bug Report Verification
159,Platform Build Failure
160,Debug Build Dependencies
166,Calendar Sync Freeze
168,ETP Captcha Blocking
173,Certificate Enrollment Race
174,Normandy Cert Hotfix
189,Color Rendering Difference
192,Color Preferences Regression
196,Function Recompile Optimization
199,Compose Window UI
200,Compose Window Crash
203,Compositor Scheduling Crash
205,GPU Texture Mismatch
211,WMF Process Initialization
219,System Thread Crash
220,Crash Guard Prevention
221,Browser Startup Crash
222,Crash Reporter Cleanup
229,Style Guide CSS
234,D3D Texture Regression
235,Data Conversion Failure
236,Browsing Data Deletion
245,Debug Build Assertion
246,Debugger Breakpoint Timeout
250,Repository Dependency Management
253,WGPU Device Drop
255,DevTools Lifecycle Issues
256,Dialog Parenting Bug
265,Drag Preview Missing
267,Verified Duplicate Bug
269,Ads Display Configuration
272,Filename Encoding Failure
277,Bidi Control SEGV
287,Extension Popup Timeout
289,User Submission System
295,Fenix Mobile Fixes
305,HTTP2 Session Crash
310,Fission IPC Integration
311,Advanced Layers Incompatibility
315,Font Activation Startup
316,Form Autofill UI
317,Frame Destruction Logic
319,Frame Poisoning Memory
320,Fullscreen Race Condition
324,Fuzzing Debug Build
326,Garbage Collection Timing
337,Linux Desktop Integration
344,Posix Header Inclusion
347,Hidden Window Lifecycle
349,History Data Corruption
350,HTML Editor Crash
353,Image Drag Decode
360,Gloda Index Optimization
361,Sqlite Initialization Failure
364,Keyboard Shortcut Suppression
366,Iframe Nesting Crash
370,Invalid Tag Selector
374,IPC Pressure Indicators
375,Iterator Implementation Refactor
376,OOP JIT Entitlement
378,Kernel Injection Detours
382,CSS Grid Layout
387,Linux Build Environment
394,Navigation Event Abortion
396,File Lock Error
399,Bug Resolution Processing
401,Single Sign-On Login
411,Platform Handling Maintainability
416,Vector Dot Product
418,Reftest Image Difference
421,Media Notification Issues
424,Out-Of-Memory Write Crash
425,Valgrind Memory Workaround
428,Nursery Garbage Collection
429,Memory Corruption Crash
430,Browser Memory Leak
440,Metrics Ingestion Logic
443,Milestone Schedule Tracking
461,Navigation Location Handling
462,Uninitialized Seek Logic
467,DNS Lookup Transport
478,APZ Node State
483,Shutdown Blockers Null-Deref
491,External PDF Opening
492,Inactive Meta Bug
497,Platform Build Configuration
498,Windows Platform Regression
499,Release Branch Uplift
502,Pageset Performance Integration
505,Authentication Event Spin
512,PDF Library Integration
513,PDF Text Highlight
515,Performance Metrics Monitoring
521,Pixel Rendering Disparity
524,Linux Platform Stability
525,Platform Logic Integration
526,Legacy Plugin Support
530,I/O Interposer Disablement
531,DrawImage Canvas Distortion
539,Print Preview Rendering
541,Privacy Fix Uplift
547,Protocol Timing Leak
548,Stream Protocol Hookup
550,Query Approval Invalid
553,Chrome Resource Directory
554,RDL Pref Rollout
557,UI Component Refactor
559,Beta Reftest Failure
562,Build Regression Cleanup
566,Feature Schema Rejection
568,Feature Requirement Matching
572,Repository Backport PR
573,WebRender SW Fallback
587,Executable Memory Security
589,GL Sampler Configuration
590,RemoteTab Sandbox Error
591,Feature Schema Compatibility
594,Field Edit Metadata
597,Autoscroll Event Ordering
598,Advanced Search Bug
602,Security Vulnerability Patch
609,ServiceWorker Startup Crash
614,Shutdown Hang Regression
618,Process Signal 15
619,Signing Certificate Expiration
621,Browser Prompt Experiment
622,Skia Graphics Update
624,SMTP Server Configuration
635,Bug Query Stale
636,Browser Stability Failure
641,Video Extension Crash
642,Plugin Stream Handling
647,MLGPU Layer Separation
657,Taskcluster Timeout Regression
661,Telemetry Data Review
662,Fission Test Sequence
665,Nimbus Schema Update
666,Test Runner Hang
670,Test Verification Failure
672,Async Module Regression
674,Text Border Rendering
677,Dark Mode UI
679,Thread Corruption Crash
684,Application Test Timeout
687,Toolbar UI Components
698,UI Menu Navigation
950,Uninitialized Value Access
962,Regression Test Timeout
964,Video Rendering Glitch
973,Wasm GC Assertion
979,WebCompat Submission Tracking
982,Memory Sanity Check
985,WebRender Background Paint
986,WebRender Feature Blocker
987,HTTP2 Proxy WebSocket
988,Whiteboard Paper Cut
990,Win32 Build Support
992,Window Manager Drag
998,ASAN QR Test
1001,Wayland X11 Compatibility
